VOIDTK void
IDENFR my_print
LPARENT (
INTTK int
IDENFR param
RPARENT )
LBRACE {
IFTK if
LPARENT (
INTCON 1
EQL ==
INTCON 0
RPARENT )
LBRACE {
INTTK int
IDENFR a
ASSIGN =
INTCON 1
SEMICN ;
IFTK if
LPARENT (
INTCON 2
EQL ==
INTCON 1
RPARENT )
LBRACE {
RETURNTK return
INTCON 1
SEMICN ;
RBRACE }
RETURNTK return
LPARENT (
INTCON 1
PLUS +
INTCON 10
RPARENT )
MULT *
INTCON 10
SEMICN ;
RBRACE }
ELSETK else
RETURNTK return
INTCON 20
SEMICN ;
RETURNTK return
LPARENT (
IDENFR param
PLUS +
INTCON 12
RPARENT )
MULT *
INTCON 10
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
